	director	duration_min	rating	vote_count	year	main_actors	name_rus	name_eng
0	Лука Гуаданьино	132	8.76	574	2017	['Арми Хаммер', 'Тимоти Шаламе']	Зови меня своим именем	Call Me by Your Name
1	Дэмьен Шазелл	106	8.318	142518	2013	['Майлз Теллер', 'Дж.К. Симмонс']	Одержимость	Whiplash
2	Квентин Тарантино	165	8.174	289291	2012	['Джейми Фокс', 'Кристоф Вальц']	Джанго освобожденный	Django Unchained
3	Рон Ховард	123	8.085	120269	2013	['Крис Хемсворт', 'Даниэль Брюль']	Гонка	Rush
4	Дэвид Финчер	149	7.933	233060	2014	['Бен Аффлек', 'Розамунд Пайк']	Исчезнувшая	Gone Girl
5	Мэл Гибсон	139	7.891	75316	2016	['Эндрю Гарфилд', 'Сэм Уортингтон']	По соображениям совести	Hacksaw Ridge
6	Дени Вильнёв	164	7.877000000000001	38741	2017	['Райан Гослинг', 'Дэйв Батиста']	Бегущий по лезвию 2049	Blade Runner 2049
7	Уэс Андерсон	100	7.86	181056	2014	['Рэйф Файнс', 'Ф. Мюррэй Абрахам']	Отель «Гранд Будапешт»	The Grand Budapest Hotel
8	Ф. Гэри Грей	147	7.847	28122	2015	['О’Ши Джексон мл.', 'Кори Хоукинс']	Голос улиц	Straight Outta Compton
9	Мартин Скорсезе	180	7.837000000000001	225824	2013	['Леонардо ДиКаприо', 'Джона Хилл']	Волк с Уолл-стрит	The Wolf of Wall Street
10	Дэвид Добкин	142	7.835	115039	2014	['Роберт Дауни мл.', 'Роберт Дювалл']	Судья	The Judge
11	Айс-Ти	106	7.835	542	2012	['Бан Б.', 'Би-Рил']	Рэп как искусство	Something from Nothing: The Art of Rap
12	Квентин Тарантино	187	7.832000000000001	145264	2015	['Курт Рассел', 'Сэмюэл Л. Джексон']	Омерзительная восьмерка	The Hateful Eight
13	Джордж Миллер	120	7.815	180847	2015	['Том Харди', 'Шарлиз Терон']	Безумный Макс: Дорога ярости	Mad Max: Fury Road
14	Жан-Марк Валле	118	7.81	125486	2013	['Мэттью МакКонахи', 'Дженнифер Гарнер']	Далласский клуб покупателей	Dallas Buyers Club
15	Алехандро Гонсалес Иньярриту	156	7.809	175022	2015	['Леонардо ДиКаприо', 'Том Харди']	Выживший	The Revenant
16	Лана Вачовски	172	7.724	169201	2012	['Том Хэнкс', 'Холли Берри']	Облачный атлас	Cloud Atlas
17	Леонард Абрахамсон	118	7.702999999999999	40404	2015	['Бри Ларсон', 'Джейкоб Тремблэ']	Комната	Room
18	Стив МакКуин	133	7.702000000000001	107572	2013	['Чиветель Эджиофор', 'Майкл Фассбендер']	12 лет рабства	12 Years a Slave
19	Дени Вильнёв	153	7.684	95951	2013	['Хью Джекман', 'Джейк Джилленхол']	Пленницы	Prisoners
20	Мэттью Вон	130	7.621	174450	2015	['Тэрон Эджертон', 'Колин Фёрт']	Kingsman: Секретная служба	Kingsman: The Secret Service
21	Дэвид Эйр	109	7.617000000000001	55719	2012	['Джейк Джилленхол', 'Майкл Пенья']	Патруль	End of Watch
22	Андрес Мускетти	135	7.606	67102	2017	['Джейден Либерер', 'Джереми Рэй Тейлор']	Оно	It
23	Алехандро Гонсалес Иньярриту	119	7.587999999999999	135811	2014	['Майкл Китон', 'Эдвард Нортон']	Бёрдмэн	Birdman or (The Unexpected Virtue of Ignorance)
24	Нимрод Антал	93	7.568	10696	2013	['Дэйн ДеХаан', 'Джеймс Хетфилд']	Metallica: Сквозь невозможное	Metallica Through the Never
25	Джон С. Бейрд	93	7.565	111952	2013	['Джеймс МакЭвой', 'Джейми Белл']	Грязь	Filth
26	Спайк Джонс	126	7.564	90793	2013	['Хоакин Феникс', 'Скарлетт Йоханссон']	Она	Her
27	Мэтт Росс	118	7.553	50090	2016	['Вигго Мортенсен', 'Джордж МакКэй']	Капитан Фантастик	Captain Fantastic
28	Майк Кэхилл	108	7.5489999999999995	51028	2014	['Майкл Питт', 'Брит Марлинг']	Я – начало	I Origins
29	Майкл Мур	120	7.541	1582	2015	['Майкл Мур', 'Криста Киуру']	Куда бы еще вторгнуться?	Where to Invade Next
30	Ричард Линклейтер	109	7.5329999999999995	11709	2013	['Итан Хоук', 'Жюли Дельпи']	Перед полуночью	Before Midnight
31	Тим Миллер	108	7.521	191084	2016	['Райан Рейнольдс', 'Морена Баккарин']	Дэдпул	Deadpool
32	Бен Аффлек	120	7.516	84032	2012	['Бен Аффлек', 'Брайан Крэнстон']	Операция «Арго»	Argo
33	Даррен Аронофски	121	7.513999999999999	19200	2017	['Дженнифер Лоуренс', 'Хавьер Бардем']	мама!	mother!
34	Александр Пэйн	115	7.5120000000000005	13598	2013	['Брюс Дерн', 'Уилл Форте']	Небраска	Nebraska
35	Трэвис Файн	97	7.502999999999999	634	2012	['Алан Камминг', 'Гаррет Диллахант']	Сейчас или никогда	Any Day Now
36	Генри Алекс Рубин	115	7.501	13805	2012	['Джейсон Бейтман', 'Хоуп Дэвис']	Связи нет	Disconnect
37	Тейлор Шеридан	107	7.479	14549	2016	['Джереми Реннер', 'Элизабет Олсен']	Ветреная река	Wind River
38	Элисон Клаймен	91	7.476	975	2012	['Ай Вейвей', 'Ай Дань']	Ай Вейвей: Никогда не извиняйся	Ai Weiwei: Never Sorry
39	Антуан Фукуа	124	7.475	65871	2015	['Джейк Джилленхол', 'Рэйчел МакАдамс']	Левша	Southpaw
40	Джон Хиллкоут	116	7.47	86863	2012	['Шайа ЛаБаф', 'Том Харди']	Самый пьяный округ в мире	Lawless
41	Том МакКарти	128	7.4670000000000005	59930	2015	['Марк Руффало', 'Майкл Китон']	В центре внимания	Spotlight
42	Джон Уэллс	121	7.46	31035	2013	['Мэрил Стрип', 'Джулия Робертс']	Август	August: Osage County
43	Джош Бун	97	7.446000000000001	16793	2012	['Грег Киннир', 'Дженнифер Коннелли']	Застрял в любви	Stuck in Love
44	Роберт Земекис	138	7.44	62892	2012	['Дензел Вашингтон', 'Келли Райлли']	Экипаж	Flight
45	Джон Карни	101	7.437	40656	2013	['Кира Найтли', 'Марк Руффало']	Хоть раз в жизни	Begin again
46	Джеймс Мэнголд	137	7.425	116561	2017	['Хью Джекман', 'Патрик Стюарт']	Логан	Logan
47	Гарет Эванс	150	7.4239999999999995	29632	2014	['Ико Уайс', 'Арифин Путра']	Рейд 2	The Raid 2: Berandal
48	Уильям Х. Мэйси	105	7.422999999999999	3520	2014	['Билли Крудап', 'Антон Ельчин']	Неуправляемый	Rudderless
49	Ричард Линклейтер	166	7.419	37922	2014	['Эллар Колтрейн', 'Итан Хоук']	Отрочество	Boyhood
50	Джим Джармуш	118	7.403	54987	2013	['Тильда Суинтон', 'Том Хиддлстон']	Выживут только любовники	Only Lovers Left Alive
51	Ноа Баумбак	86	7.396	11257	2012	['Грета Гервиг', 'Мики Самнер']	Милая Фрэнсис	Frances Ha
52	Джеймс Ван	112	7.379	85188	2013	['Вера Фармига', 'Патрик Уилсон']	Заклятие	The Conjuring
53	Рэндолл Миллер	101	7.374	2960	2013	['Алан Рикман', 'Малин Акерман']	Клуб 'CBGB'	CBGB
54	Гэвин О’Коннор	128	7.37	61399	2016	['Бен Аффлек', 'Анна Кендрик']	Расплата	The Accountant
55	Джемейн Клемент	85	7.37	43130	2014	['Джемейн Клемент', 'Тайка Вайтити']	Реальные упыри	What We Do in the Shadows
56	Джим Джармуш	108	7.3660000000000005	1119	2016	['Юэн МакГрегор', 'Игги Поп']	Gimme Danger. История Игги и The Stooges	Gimme Danger
57	Дэвид Эйр	134	7.36	85056	2014	['Брэд Питт', 'Логан Лерман']	Ярость	Fury
58	Дерек Сиенфрэнс	140	7.351	64200	2012	['Райан Гослинг', 'Брэдли Купер']	Место под соснами	The Place Beyond the Pines
59	Дэн Гилрой	118	7.343999999999999	54421	2013	['Джейк Джилленхол', 'Рене Руссо']	Стрингер	Nightcrawler
60	Джордж С. Вольф	103	7.34	6495	2014	['Хилари Суэнк', 'Эмми Россам']	Ты не ты	You're Not You
61	Джей Роуч	124	7.334	16622	2015	['Брайан Крэнстон', 'Дайан Лэйн']	Трамбо	Trumbo
62	Джон Мэдден	126	7.33	4710	2016	['Джессика Честейн', 'Гугу Эмбата-Ро']	Мисс Слоун	Miss Sloane
63	Скотт МакГихи	99	7.31	4520	2012	['Оната Април', 'Александр Скарсгард']	Развод в большом городе	What Maisie Knew
64	Роусон Маршалл Тёрбер	110	7.269	138963	2013	['Дженнифер Энистон', 'Джейсон Судейкис']	Мы – Миллеры	We're the Millers
65	Адам МакКей	130	7.263	67527	2015	['Кристиан Бэйл', 'Стив Карелл']	Игра на понижение	The Big Short
66	Рик Роман Во	120	7.261	17825	2017	['Николай Костер-Вальдау', 'Джон Бернтал']	Выстрел в пустоту	Shot Caller
67	Лора Пойтрас	114	7.261	8062	2014	['Эдвард Сноуден', 'Гленн Гринвальд']	Citizenfour: Правда Сноудена	Citizenfour
68	Эдгар Райт	112	7.26	47545	2017	['Энсел Элгорт', 'Кевин Спейси']	Малыш на драйве	Baby Driver
69	Том Форд	116	7.2589999999999995	60177	2016	['Эми Адамс', 'Джейк Джилленхол']	Под покровом ночи	Nocturnal Animals
70	Дестин Креттон	96	7.256	5988	2013	['Бри Ларсон', 'Джон Галлахер мл.']	Короткий срок 12	Short Term 12
71	Джим Джармуш	118	7.235	16902	2016	['Адам Драйвер', 'Голшифте Фарахани']	Патерсон	Paterson
72	Кеннет Лонерган	137	7.232	30983	2016	['Кейси Аффлек', 'Мишель Уильямс']	Манчестер у моря	Manchester by the Sea
73	Даг Лайман	115	7.225	7174	2017	['Том Круз', 'Донал Глисон']	Сделано в Америке	American Made
74	Брэд Андерсон	95	7.224	45234	2013	['Холли Берри', 'Эбигейл Бреслин']	Тревожный вызов	The Call
75	Сэм Эсмейл	91	7.221	3254	2014	['Джастин Лонг', 'Кайла Серви']	Комета	Comet
76	Джонатан Дэйтон	104	7.199	28964	2012	['Пол Дано', 'Зои Казан']	Руби Спаркс	Ruby Sparks
77	Дэвид О. Расселл	120	7.195	130823	2012	['Брэдли Купер', 'Дженнифер Лоуренс']	Мой парень – псих	Silver Linings Playbook
78	Мэттью Вон	141	7.187	33855	2017	['Тэрон Эджертон', 'Колин Фёрт']	Kingsman: Золотое кольцо	Kingsman: The Golden Circle
79	Нил Бломкамп	120	7.186	103904	2015	['Шарлто Копли', 'Дев Патель']	Робот по имени Чаппи	Chappie
80	Майкл Шоуолтер	119	7.178999999999999	809	2017	['Холли Хантер', 'Зои Казан']	Любовь – болезнь	The Big Sick
81	Жан-Марк Валле	115	7.159	37492	2014	['Риз Уизерспун', 'Лора Дерн']	Дикая	Wild
82	Зак Брафф	106	7.147	32664	2014	['Зак Брафф', 'Кейт Хадсон']	Хотел бы я быть здесь	Wish I Was Here
83	Брайан Хелгеленд	131	7.138	67418	2015	['Том Харди', 'Эмили Браунинг']	Легенда	Legend
84	Дэвид Маккензи	102	7.1370000000000005	36404	2016	['Джефф Бриджес', 'Крис Пайн']	Любой ценой	Hell or High Water
85	МакДжи	97	7.136	103586	2012	['Том Харди', 'Крис Пайн']	Значит, война	This Means War
86	Джастин Курзель	113	7.117999999999999	23300	2015	['Майкл Фассбендер', 'Марион Котийяр']	Макбет	Macbeth
87	Джон Харвитц	113	7.117000000000001	70813	2012	['Джейсон Биггз', 'Элисон Хэннигэн']	Американский пирог: Все в сборе	American Reunion
88	Микаэль Хофстрём	115	7.1129999999999995	69700	2013	['Сильвестр Сталлоне', 'Арнольд Шварценеггер']	План побега	Escape Plan
89	Питер Берг	116	7.1129999999999995	36077	2013	['Марк Уолберг', 'Тейлор Китч']	Уцелевший	Lone Survivor
90	Бен Сэфди	101	7.112	15254	2017	['Роберт Паттинсон', 'Бен Сэфди']	Хорошее время	Good Time
91	Илья Найшуллер	0	7.108	61967	2015	['Шарлто Копли', 'Данила Козловский']	Хардкор	96 мин
92	Пол Фиг	119	7.105	90854	2015	['Мелисса МакКарти', 'Джейсон Стэйтем']	Шпион	Spy
93	Джеймс Понсольдт	106	7.103	5553	2015	['Джесси Айзенберг', 'Джейсон Сигел']	Конец тура	The End of the Tour
94	Мартин Скорсезе	161	7.093	17497	2016	['Эндрю Гарфилд', 'Адам Драйвер']	Молчание	Silence
95	Грен Уэллс	101	7.085	13924	2014	['Роберт Шиэн', 'Дев Патель']	Тронутые	The Road Within
96	Шейн Блэк	115	7.077999999999999	79137	2016	['Райан Гослинг', 'Ким Бейсингер']	Славные парни	The Nice Guys
97	Дэвид Лоури	92	7.066	1293	2017	['Кейси Аффлек', 'Руни Мара']	История призрака	A Ghost Story
98	Дэн Фогельман	102	7.065	8940	2014	['Аль Пачино', 'Аннетт Бенинг']	Второй шанс	Danny Collins
99	Джеймс Ван	133	7.061	41357	2016	['Патрик Уилсон', 'Вера Фармига']	Заклятие 2	The Conjuring 2
100	Роберт Земекис	121	7.053999999999999	45906	2016	['Брэд Питт', 'Марион Котийяр']	Союзники	Allied
101	Гленн Фикарра	104	7.053	98273	2014	['Уилл Смит', 'Марго Робби']	Фокус	Focus
102	Бальтасар Кормакур	109	7.042999999999999	52454	2013	['Дензел Вашингтон', 'Марк Уолберг']	Два ствола	2 Guns
103	Дени Вильнёв	121	7.042999999999999	43462	2015	['Эмили Блант', 'Бенисио Дель Торо']	Убийца	Sicario
104	Жан-Марк Валле	101	7.042000000000001	37422	2015	['Джейк Джилленхол', 'Наоми Уоттс']	Разрушение	Demolition
105	Райан Куглер	90	7.0329999999999995	4515	2013	['Майкл Б. Джордан', 'Мелони Диас']	Станция 'Фрутвейл'	Fruitvale Station
106	Джон Крокидас	103	7.031000000000001	21633	2013	['Дэниэл Рэдклифф', 'Дэйн ДеХаан']	Убей своих любимых	Kill Your Darlings
107	Леонард Абрахамсон	95	7.026	20803	2013	['Донал Глисон', 'Мэгги Джилленхол']	Фрэнк	Frank
108	Нима Нуризаде	88	7.022	86623	2012	['Томас Манн', 'Оливер Купер']	Проект X: Дорвались	Project X
109	Ридли Скотт	124	7.017	139963	2012	['Нуми Рапас', 'Майкл Фассбендер']	Прометей	Prometheus
110	Фил Лорд	110	7.016	119824	2012	['Джона Хилл', 'Ченнинг Татум']	Мачо и ботан	21 Jump Street
111	Рубен Фляйшер	113	7.013	62798	2013	['Джош Бролин', 'Райан Гослинг']	Охотники на гангстеров	Gangster Squad
112	Вуди Аллен	112	7.002999999999999	32981	2012	['Вуди Аллен', 'Алек Болдуин']	Римские приключения	To Rome with Love
113	Стивен Содерберг	101	6.995	68397	2013	['Джуд Лоу', 'Руни Мара']	Побочный эффект	Side Effects
114	Габриэле Муччино	116	6.994	7175	2014	['Рассел Кроу', 'Аманда Сайфред']	Отцы и дочери	Fathers & Daughters
115	Саймон Уэст	103	6.989	85030	2012	['Сильвестр Сталлоне', 'Джейсон Стэйтем']	Неудержимые 2	The Expendables 2
116	Райан Джонсон	118	6.9879999999999995	123632	2012	['Джозеф Гордон-Левитт', 'Брюс Уиллис']	Петля времени	Looper
117	Майк Уайт	101	6.985	834	2017	['Бен Стиллер', 'Остин Абрамс']	Статус Брэда	Brad's Status
118	Ярон Зильберман	105	6.973	1024	2012	['Кэтрин Кинер', 'Кристофер Уокен']	Прощальный квартет	A Late Quartet
119	Майя Форбс	90	6.957000000000001	3043	2014	['Марк Руффало', 'Зои Салдана']	Бесконечно белый медведь	Infinitely Polar Bear
120	Антуан Фукуа	131	6.9479999999999995	66977	2014	['Дензел Вашингтон', 'Мартон Чокаш']	Великий уравнитель	The Equalizer
121	Итан Коэн	104	6.947	23059	2012	['Оскар Айзек', 'Кэри Маллиган']	Внутри Льюина Дэвиса	Inside Llewyn Davis
122	Клинт Иствуд	132	6.939	55072	2014	['Брэдли Купер', 'Сиенна Миллер']	Снайпер	American Sniper
123	Андреа Арнольд	163	6.917999999999999	2739	2016	['Саша Лэйн', 'Шайа ЛаБаф']	Американская милашка	American Honey
124	Дэвид О. Расселл	138	6.915	84809	2013	['Кристиан Бэйл', 'Эми Адамс']	Афера по-американски	American Hustle
125	Джон Фавро	114	6.912000000000001	36583	2014	['Джон Фавро', 'София Вергара']	Повар на колесах	Chef
126	Люк Бессон	111	6.899	74341	2013	['Роберт Де Ниро', 'Мишель Пфайффер']	Малавита	The Family
127	Пак Чхан-ук	99	6.891	31134	2012	['Миа Васиковска', 'Мэттью Гуд']	Порочные игры	Stoker
128	Том Хупер	119	6.876	35694	2015	['Эдди Редмэйн', 'Алисия Викандер']	Девушка из Дании	The Danish Girl
129	Оливер Стоун	134	6.874	30120	2016	['Джозеф Гордон-Левитт', 'Шейлин Вудли']	Сноуден	Snowden
130	Майк Миллс	118	6.874	3134	2016	['Аннетт Бенинг', 'Эль Фаннинг']	Женщины ХХ века	20th Century Women
131	Чад Стахелски	122	6.865	56783	2017	['Киану Ривз', 'Риккардо Скамарчо']	Джон Уик 2	John Wick: Chapter Two
132	Нед Бенсон	100	6.86	2115	2013	['Джессика Честейн', 'Джеймс МакЭвой']	Исчезновение Элеанор Ригби: Она	The Disappearance of Eleanor Rigby: Her
133	Роберт Родригес	94	6.858	69096	2014	['Микки Рурк', 'Джессика Альба']	Город грехов 2: Женщина, ради которой стоит убивать	Sin City: A Dame to Kill For
134	Рассел Кроу	111	6.857	18215	2014	['Рассел Кроу', 'Ольга Куриленко']	Искатель воды	The Water Diviner
135	Чад Стахелски	101	6.856	99312	2014	['Киану Ривз', 'Микаэл Нюквист']	Джон Уик	John Wick
136	Рик Фамуйива	103	6.853	9612	2015	['Шамеик Мур', 'Тони Револори']	Наркотик	Dope
137	Патрик Хьюз	118	6.848	28332	2017	['Райан Рейнольдс', 'Сэмюэл Л. Джексон']	Телохранитель киллера	The Hitman's Bodyguard
138	Тодд Филлипс	114	6.847	53120	2016	['Майлз Теллер', 'Джона Хилл']	Парни со стволами	War Dogs
139	Стивен Найт	85	6.845	30540	2013	['Том Харди', 'Оливия Колман']	Лок	Locke
140	Даниэль Эспиноса	115	6.8420000000000005	44257	2012	['Дензел Вашингтон', 'Райан Рейнольдс']	Код доступа «Кейптаун»	Safe House
141	Джордан Пил	104	6.84	43703	2017	['Дэниэл Калуя', 'Эллисон Уильямс']	Прочь	Get Out
142	Фишер Стивенс	91	6.814	18847	2012	['Аль Пачино', 'Кристофер Уокен']	Реальные парни	Stand Up Guys
143	Виктор Левин	95	6.814	4862	2014	['Антон Ельчин', 'Беренис Марло']	&#8203;С 5 до 7. Время любовников	5 to 7
144	Хорхе С. Дорадо	99	6.807	8355	2013	['Таисса Фармига', 'Марк Стронг']	Экстрасенс 2: Лабиринты разума	Mindscape
145	Пит Трэвис	95	6.805	56748	2012	['Карл Урбан', 'Оливия Тирлби']	Судья Дредд 3D	Dredd
146	Джей Олива	75	6.803	2164	2017	['Мэтт Райан', 'Камилла Ладдингтон']	Темная Вселенная (видео)	Justice League Dark
147	Стивен Гейган	120	6.789	16519	2016	['Мэттью МакКонахи', 'Эдгар Рамирес']	Золото	Gold
148	Джордан Вот-Робертс	95	6.787999999999999	10445	2013	['Ник Дж. Робинсон', 'Гэбриел Бассо']	Короли лета	The Kings of Summer
149	Нед Бенсон	89	6.784	2601	2013	['Джеймс МакЭвой', 'Джессика Честейн']	Исчезновение Элеанор Ригби: Он	The Disappearance of Eleanor Rigby: Him
150	Пон Джун-хо	126	6.78	41847	2013	['Крис Эванс', 'Сон Кан-хо']	Сквозь снег	Snowpiercer
151	Эрик Ван Лой	98	6.78	38418	2013	['Карл Урбан', 'Джеймс Марсден']	Лофт	The Loft
152	Мэтт Хейнеман	100	6.757999999999999	1012	2015	"['Tim Nailer Foley', ""José Manuel 'El Doctor' Mireles""]"	Земля картелей	Cartel Land
153	Тодд Хейнс	118	6.754	17955	2014	['Кейт Бланшетт', 'Руни Мара']	Кэрол	Carol
154	Седрик Клапиш	117	6.749	4993	2013	['Ромен Дюрис', 'Одри Тоту']	Китайская головоломка	Casse-tête chinois
155	Дьюк Джонсон	90	6.7410000000000005	3545	2015	['Дэвид Тьюлис', 'Дженнифер Джейсон Ли']	Аномализа	Anomalisa
156	Джереми Гарелик	101	6.737	14499	2015	['Кевин Харт', 'Джош Гад']	Шафер напрокат	The Wedding Ringer
157	Пабло Ларраин	115	6.729	1739	2012	['Гаэль Гарсиа Берналь', 'Альфредо Кастро']	Нет	No
